SAMEA num,"sampleID (ENA, PANGAEA)",sampleID (IMIS),run accession MG,run accession 18S,run accession 16S
SAMEA3275552,OSD97_2014-06-21_0.5m_NPL022,OSD97_2014-06_NPL022_1,ERR770960,ERR867645,ERR867646
SAMEA3275553,OSD96_2014-06-21_0m_NPL022,OSD96_2014-06_NPL022_1,ERR770961,ERR867647,ERR867648
SAMEA3275554,OSD95_2014-06-21_0m_NPL022,OSD95_2014-06_NPL022_1,ERR770962,ERR867649,ERR867650
SAMEA3275555,OSD94_2014-06-21_0m_NPL022,OSD94_2014-06_NPL022_1,ERR770963,ERR867652,ERR867651
SAMEA3275556,OSD93_2014-06-21_2m_NPL022,OSD93_2014-06_NPL022_1,ERR770964,ERR867654,ERR867653
SAMEA3275557,OSD92_2014-06-21_2m_NPL022,OSD92_2014-06_NPL022_1,ERR770965,ERR867656,ERR867655
SAMEA3275558,OSD91_2014-06-21_2m_NPL022,OSD91_2014-06_NPL022_1,ERR770966,ERR867657,ERR867658
SAMEA3275559,OSD90_2014-06-21_2m_NPL022,OSD90_2014-06_NPL022_1,ERR770967,ERR867659,ERR867660
SAMEA3275561,OSD81_2014-06-21_0m_NPL022,OSD81_2014-06_NPL022_1,ERR770969,ERR867664,ERR867663
SAMEA3275562,OSD80_2014-06-21_2m_NPL022,OSD80_2014-06_NPL022_2,ERR770970,ERR867665,ERR867666
SAMEA3275564,OSD80_2014-06-21_0m_NPL022,OSD80_2014-06_NPL022_1,ERR770971,ERR867668,ERR867667
SAMEA3275565,OSD78_2014-06-21_0.5m_NPL022,OSD78_2014-06_NPL022_1,ERR770972,ERR867670,ERR867669
SAMEA3275567,OSD77_2014-06-20_0.5m_NPL022,OSD77_2014-06_NPL022_1,ERR770973,ERR867671,ERR867672
SAMEA3275568,OSD76_2014-06-20_0.5m_NPL022,OSD76_2014-06_NPL022_1,ERR770974,ERR867674,ERR867673
SAMEA3275570,OSD74_2014-06-21_1m_NPL022,OSD74_2014-06_NPL022_1,ERR770975,ERR867676,ERR867675
SAMEA3275571,OSD73_2014-06-21_1m_NPL022,OSD73_2014-06_NPL022_1,ERR770976,ERR867677,ERR867678
SAMEA3275573,OSD72_2014-07-21_0.8m_NPL022,OSD72_2014-06_NPL022_1,ERR770977,ERR867679,ERR867680
SAMEA3275574,OSD71_2014-06-21_0m_NPL022,OSD71_2014-06_NPL022_1,ERR770978,ERR867681,ERR867682
SAMEA3275575,OSD70_2014-06-21_0m_NPL022,OSD70_2014-06_NPL022_1,ERR770979,ERR867684,ERR867683
SAMEA3275576,OSD69_2014-06-21_0m_NPL022,OSD69_2014-06_NPL022_1,ERR770981,ERR867688,ERR867687
SAMEA3275577,OSD65_2014-06-20_0.1m_NPL022,OSD65_2014-06_NPL022_1,ERR770982,ERR867689,ERR867690
SAMEA3275578,OSD64_2014-06-21_1m_NPL022,OSD64_2014-06_NPL022_1,ERR770983,ERR867691,ERR867692
SAMEA3275579,OSD63_2014-06-20_0m_NPL022,OSD63_2014-06_NPL022_1,ERR770984,ERR867693,ERR867694
