ColumnTitle,Description,Datatype,Property,ObservablePropertyUrl,Unit,UnitUrl
NanoMicroPlankton_flag,"Flag for when the recorded unit differs from the proposed unit, for column: NanoMicroPlankton",,,,,
PAR,Visible waveband radiance and irradiance measurements in the water column,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/VSRW/,micromol/m^2/s,http://vocab.nerc.ac.uk/collection/P06/current/UM2S/
PAR_unit,The recorded unit for PAR,,,,,
PAR_flag,"Flag for when the recorded unit differs from the proposed unit, for column: PAR",,,,,
Conductivity,Electrical conductivity of water,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/CNDC/,mS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSCM/
Conductivity_unit,The recorded unit for Conductivity,,,,,
Conductivity_flag,"Flag for when the recorded unit differs from the proposed unit, for column: Conductivity",,,,,
PP_C,Primary Production (isotope uptake) in the water column,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/PPRD/,mg/m^3/day,http://vocab.nerc.ac.uk/collection/P06/current/UGDC/
PP_C_unit,The recorded unit for PP_C,,,,,
PP_C_flag,"Flag for when the recorded unit differs from the proposed unit, for column: PP_C",,,,,
Oxygen,Primary Production (oxygen) in the water column,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/PPRD/,micromol/kg,http://vocab.nerc.ac.uk/collection/P06/current/KGUM/
Oxygen_unit,The recorded unit for Oxygen,,,,,
Oxygen_flag,"Flag for when the recorded unit differs from the proposed unit, for column: Oxygen",,,,,
PON,Particulate organic nitrogen concentration in the water column,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/NTOT/,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/
PON_unit,The recorded unit for PON,,,,,
PON_flag,"Flag for when the recorded unit differs from the proposed unit, for column: PON",,,,,
MesoMacroPlankton,Abundance of meso/macro plankton cells in the water column (+other avail. cell properties),xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/ZATX/,count/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/
MesoMacroPlankton_unit,The recorded unit for MesoMacroPlankton,,,,,
MesoMacroPlankton_flag,"Flag for when the recorded unit differs from the proposed unit, for column: MesoMacroPlankton",,,,,
BacterialProduction_C,Bacterial production in the water column,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/UPTH/,mg/m^3/day,http://vocab.nerc.ac.uk/collection/P06/current/UGDC/
BacterialProduction_C_unit,The recorded unit for BacterialProduction_C,,,,,
BacterialProduction_C_flag,"Flag for when the recorded unit differs from the proposed unit, for column: BacterialProduction_C",,,,,
DON,Dissolved organic nitrogen concentration in the water column,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/TDNT/,mg/l,http://vocab.nerc.ac.uk/collection/P06/current/UMGL/
DON_unit,The recorded unit for DON,,,,,
DON_flag,"Flag for when the recorded unit differs from the proposed unit, for column: DON",,,,,
NH4+,Ammonium concentration parameters in the water column,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/AMON/,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/
NH4+_unit,The recorded unit for NH4+,,,,,
NH4+_flag,"Flag for when the recorded unit differs from the proposed unit, for column: NH4+",,,,,
SiOH4,Silicate concentration parameters in the water column,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/SLCA/,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/
SiOH4_unit,The recorded unit for SiOH4,,,,,
SiOH4_flag,"Flag for when the recorded unit differs from the proposed unit, for column: SiOH4",,,,,
Turbidity,Transmittance and attenuance of the water column,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/ATTN/,FTU,http://vocab.nerc.ac.uk/collection/P06/current/USTU/
Turbidity_unit,The recorded unit for Turbidity,,,,,
Turbidity_flag,"Flag for when the recorded unit differs from the proposed unit, for column: Turbidity",,,,,
Fluorometer,Raw (volts) or converted (mg Chla/m^3) fluorescence of the water,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/FVLT/,V,http://vocab.nerc.ac.uk/collection/P06/current/UVLT/
Fluorometer_unit,The recorded unit for Fluorometer,,,,,
Fluorometer_flag,"Flag for when the recorded unit differs from the proposed unit, for column: Fluorometer",,,,,
Chl_a,Concentration of chlorophyll a extracted and analysed by fluorometer or HPLC,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/CPWC/,mg/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/
Chl_a_unit,The recorded unit for Chl_a,,,,,
Chl_a_flag,"Flag for when the recorded unit differs from the proposed unit, for column: Chl_a",,,,,
