sampleID_pangea,sampleID_imis,Campaign_pangea,Campaign_imis,Event_pangea,eventID_imis
OSD129_2014-06-21_10m_NPL022,OSD129_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD129_20140621T1638Z ,OSD129_2014-06
OSD13_2014-06-21_0m_NPL022,OSD13_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD13_20140621T0630Z ,OSD13_2014-06
OSD130_2014-06-21_1m_NPL022,OSD130_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD130_20140621T1141Z ,OSD130_2014-06
OSD131_2014-06-21_1m_NPL022,OSD131_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD131_20140621T0824Z ,OSD131_2014-06
OSD132_2014-06-22_0.5m_NE08,OSD132_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD132_20140622T0845Z ,OSD132_2014-06
OSD132_2014-06-22_0.5m_NPL022,OSD132_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD132_20140622T0845Z,OSD132_2014-06
OSD133_2014-06-21_0m_NPL022,OSD133_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD133_20140621T0724Z ,OSD133_2014-06
OSD135_2014-06-21_1m_NPL022,OSD135_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD135_20140621T0303Z ,OSD135_2014-06
OSD136_2014-06-21_0.1m_NPL022,OSD136_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD136_20140621T1056Z ,OSD136_2014-06
OSD137_2014-06-21_0.1m_NPL022,OSD137_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD137_20140621T1401Z ,OSD137_2014-06
OSD14_2014-06-23_2m_NE08,OSD14_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD14_20140623T0805Z ,OSD14_2014-06
OSD14_2014-06-23_2m_NPL022,OSD14_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD14_20140623T0805Z,OSD14_2014-06
OSD141_2014-06-20_5m_NE08,OSD141_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD141_20140620T0845Z ,OSD141_2014-06
OSD141_2014-06-20_5m_NPL022,OSD141_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD141_20140620T0845Z,OSD141_2014-06
OSD142_2014-06-21_1m_NE08,OSD142_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD142_20140621T1500Z ,OSD142_2014-06
OSD142_2014-06-21_1m_NPL022,OSD142_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD142_20140621T1500Z,OSD142_2014-06
OSD143_2014-06-21_1m_NE08,OSD143_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD143_20140621T1900Z ,OSD143_2014-06
