sampleID_pangea,sampleID_imis,Campaign_pangea,Campaign_imis,Event_pangea,eventID_imis
OSD70_2014-06-21_0m_NPL022,OSD70_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD70_20140621T1111Z ,OSD70_2014-06
OSD71_2014-06-21_0m_NE08,OSD71_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD71_20140621T2335Z ,OSD71_2014-06
OSD71_2014-06-21_0m_NPL022,OSD71_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD71_20140621T2335Z,OSD71_2014-06
OSD72_2014-06-21_0.8m_NE08,OSD72_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD72_20140621T0912Z ,OSD72_2014-06
OSD72_2014-06-21_0.8m_NPL022,OSD72_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD72_20140621T0912Z,OSD72_2014-06
OSD73_2014-06-21_1m_NPL022,OSD73_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD73_20140621T1115Z ,OSD73_2014-06
OSD74_2014-06-21_1m_NPL022,OSD74_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD74_20140621T1115Z ,OSD74_2014-06
OSD76_2014-06-20_0.5m_NE08,OSD76_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD76_20140620T0915Z ,OSD76_2014-06
OSD76_2014-06-20_0.5m_NPL022,OSD76_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD76_20140620T0915Z,OSD76_2014-06
OSD77_2014-06-20_0.5m_NE08,OSD77_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD77_20140620T1100Z ,OSD77_2014-06
OSD77_2014-06-20_0.5m_NPL022,OSD77_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD77_20140620T1100Z,OSD77_2014-06
OSD78_2014-06-21_0.5m_NPL022,OSD78_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD78_20140621T0900Z ,OSD78_2014-06
OSD80_2014-06-21_0m_NPL022,OSD80_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD80_20140621T1930Z ,OSD80_2014-06
OSD80_2014-06-21_2m_NE08,OSD80_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD80_20140621T1830Z ,OSD80_2014-06
OSD80_2014-06-21_2m_NPL022,OSD80_2014-06_NPL022_2,OSD-Jun-2014,OSD2014,OSD80_20140621T1730Z ,OSD80_2014-06
OSD81_2014-06-21_0m_NPL022,OSD81_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD81_20140621T1058Z ,OSD81_2014-06
OSD87_2014-06-21_9m_NPL022,OSD87_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD87_20140621T1107Z ,OSD87_2014-06
OSD9_2014-06-18_0m_NE08,OSD9_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD9_20140618T0418Z ,OSD9_2014-06
OSD9_2014-06-18_0m_NPL022,OSD9_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD9_20140618T0418Z,OSD9_2014-06
OSD90_2014-06-21_2m_NPL022,OSD90_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD90_20140621T0800Z ,OSD90_2014-06
OSD91_2014-06-21_2m_NPL022,OSD91_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD91_20140621T1100Z ,OSD91_2014-06
OSD92_2014-06-21_2m_NPL022,OSD92_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD92_20140621T1100Z ,OSD92_2014-06
OSD93_2014-06-21_2m_NPL022,OSD93_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD93_20140621T1100Z ,OSD93_2014-06
OSD94_2014-06-21_0m_NPL022,OSD94_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD94_20140621T0930Z ,OSD94_2014-06
OSD95_2014-06-21_0m_NPL022,OSD95_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD95_20140621T0825Z ,OSD95_2014-06
OSD96_2014-06-21_0m_NPL022,OSD96_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD96_20140621T1250Z ,OSD96_2014-06
OSD97_2014-06-21_0.5m_NPL022,OSD97_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD97_20140621T1235Z ,OSD97_2014-06
OSD98_2014-06-21_0.5m_NPL022,OSD98_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD98_20140621T1240Z ,OSD98_2014-06
OSD99_2014-06-21_1m_NE08,OSD99_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD99_20140621T1024Z ,OSD99_2014-06
OSD99_2014-06-21_1m_NPL022,OSD99_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD99_20140621T1024Z,OSD99_2014-06
 ,,,,,
